date,hospital_code,hospital_name,blood_type,units_in_stock,units_consumed,units_restocked,is_weekend,is_holiday,emergency_surge,critical_alert
2023-01-01,KNH,"Kenyatta National Hospital, Nairobi",O+,157.2,10.8,0.0,True,True,0.0,False
2023-01-02,KNH,"Kenyatta National Hospital, Nairobi",O+,151.9,5.3,0.0,False,False,0.0,False
2023-01-03,KNH,"Kenyatta National Hospital, Nairobi",O+,146.2,5.7,0.0,False,False,0.0,False
2023-01-04,KNH,"Kenyatta National Hospital, Nairobi",O+,141.2,5.1,0.0,False,False,0.0,False
2023-01-05,KNH,"Kenyatta National Hospital, Nairobi",O+,136.0,5.1,0.0,False,False,0.0,False
2023-01-06,KNH,"Kenyatta National Hospital, Nairobi",O+,130.6,5.5,0.0,False,False,0.0,False
2023-01-07,KNH,"Kenyatta National Hospital, Nairobi",O+,123.4,7.2,0.0,True,False,0.0,False
2023-01-08,KNH,"Kenyatta National Hospital, Nairobi",O+,116.4,6.9,0.0,True,False,0.0,False
2023-01-09,KNH,"Kenyatta National Hospital, Nairobi",O+,110.5,5.9,0.0,False,False,0.0,False
2023-01-10,KNH,"Kenyatta National Hospital, Nairobi",O+,105.1,5.5,0.0,False,False,0.0,False
2023-01-11,KNH,"Kenyatta National Hospital, Nairobi",O+,99.8,5.3,0.0,False,False,0.0,False
2023-01-12,KNH,"Kenyatta National Hospital, Nairobi",O+,94.3,5.5,0.0,False,False,0.0,False
2023-01-13,KNH,"Kenyatta National Hospital, Nairobi",O+,90.3,4.0,0.0,False,False,0.0,False
2023-01-14,KNH,"Kenyatta National Hospital, Nairobi",O+,156.4,7.2,73.4,True,False,0.0,False
2023-01-15,KNH,"Kenyatta National Hospital, Nairobi",O+,151.8,4.7,0.0,True,False,0.0,False
2023-01-16,KNH,"Kenyatta National Hospital, Nairobi",O+,146.0,5.7,0.0,False,False,0.0,False
2023-01-17,KNH,"Kenyatta National Hospital, Nairobi",O+,141.3,4.7,0.0,False,False,0.0,False
2023-01-18,KNH,"Kenyatta National Hospital, Nairobi",O+,135.8,5.5,0.0,False,False,0.0,False
2023-01-19,KNH,"Kenyatta National Hospital, Nairobi",O+,130.5,5.3,0.0,False,False,0.0,False
2023-01-20,KNH,"Kenyatta National Hospital, Nairobi",O+,124.3,6.2,0.0,False,False,0.0,False
2023-01-21,KNH,"Kenyatta National Hospital, Nairobi",O+,117.2,7.1,0.0,True,False,0.0,False
2023-01-22,KNH,"Kenyatta National Hospital, Nairobi",O+,110.5,6.7,0.0,True,False,0.0,False
2023-01-23,KNH,"Kenyatta National Hospital, Nairobi",O+,105.7,4.8,0.0,False,False,0.0,False
2023-01-24,KNH,"Kenyatta National Hospital, Nairobi",O+,194.2,5.2,93.8,False,False,0.0,False
2023-01-25,KNH,"Kenyatta National Hospital, Nairobi",O+,188.0,6.2,0.0,False,False,0.0,False
